,Artist,Song,Class,probability_vector,label_vector
36,The Big Bopper,Little Red Riding Hood,Happy,"[0.28598523139953613, 0.2000543475151062, 0.17568367719650269, 0.19750747084617615, 0.007454574108123779, 0.043047964572906494, 0.04175835847854614]","[1, 0, 0, 0, 0, 0, 0]"
37,School Days,Chuck Berry,Happy,"[0.30273884534835815, 0.3349877595901489, 0.2582119107246399, 0.21562010049819946, 0.01935058832168579, 0.10801681876182556, 0.07699897885322571]","[0, 1, 0, 0, 0, 0, 0]"
38,Boogie Woogie Bugle Boy,The Andrews Sisters,Happy,"[0.35293927788734436, 0.11326390504837036, 0.0874030590057373, 0.18394362926483154, 0.0002795755863189697, 0.040817588567733765, 0.4062032103538513]","[0, 0, 0, 0, 0, 0, 1]"
39,Dusty Springfield,Son of a preacher man,Happy,"[0.27863529324531555, 0.31277215480804443, 0.27944129705429077, 0.21478012204170227, 0.005093693733215332, 0.0720604658126831, 0.08475187420845032]","[0, 1, 0, 0, 0, 0, 0]"
40,The Stray Cats,Rock This Town,Happy,"[0.276716411113739, 0.1725490391254425, 0.12629476189613342, 0.25820043683052063, 0.0007100701332092285, 0.040638506412506104, 0.054027944803237915]","[1, 0, 0, 0, 0, 0, 0]"
41,The Trashmen,Surfin Bird - Bird is the Word,Happy,"[0.09152740240097046, 0.11418470740318298, 0.020615190267562866, 0.08489969372749329, 4.232844332818786e-07, 0.001560598611831665, 0.595408022403717]","[0, 0, 0, 0, 0, 0, 1]"
42,Frank Sinatra,That's Life,Happy,"[0.3039652705192566, 0.17725005745887756, 0.21154025197029114, 0.3409155607223511, 0.003054976463317871, 0.07084733247756958, 0.048311710357666016]","[0, 0, 0, 1, 0, 0, 0]"
43,Roger Miller,The Hat,Happy,"[0.39659780263900757, 0.31909987330436707, 0.2501862347126007, 0.34258267283439636, 0.052266836166381836, 0.1967269778251648, 0.1956120729446411]","[1, 0, 0, 0, 0, 0, 0]"
44,Paul Simon,You Can Call Me Al,Happy,"[0.3463188409805298, 0.18068534135818481, 0.08275666832923889, 0.16720616817474365, 9.781222615856677e-05, 0.020806819200515747, 0.02985602617263794]","[1, 0, 0, 0, 0, 0, 0]"
45,Zip,A- Dee-Doo-Dah,Happy,"[0.3463957905769348, 0.21821743249893188, 0.2399100363254547, 0.2260023057460785, 0.004027038812637329, 0.06862497329711914, 0.047201961278915405]","[1, 0, 0, 0, 0, 0, 0]"
46,Heigh,Ho,Happy,"[0.36004799604415894, 0.31519806385040283, 0.22802114486694336, 0.33321884274482727, 0.0042192041873931885, 0.14983448386192322, 0.43738433718681335]","[0, 0, 0, 0, 0, 0, 1]"
47,Annie: It's the Hard,Knock Life,Happy,"[0.30365046858787537, 0.3416142463684082, 0.3203261196613312, 0.3589630126953125, 0.0506453812122345, 0.22636109590530396, 0.24872785806655884]","[0, 0, 0, 1, 0, 0, 0]"
48,Kid Rock,American Rock 'n Roll,Happy,"[0.274588942527771, 0.24966594576835632, 0.19290775060653687, 0.18651887774467468, 0.0031778812408447266, 0.028245210647583008, 0.32820025086402893]","[0, 0, 0, 0, 0, 0, 1]"
49,Polly,Wolly-Doodle,Happy,"[0.39591193199157715, 0.25565022230148315, 0.19299453496932983, 0.20717918872833252, 0.0038961470127105713, 0.033791422843933105, 0.06351175904273987]","[1, 0, 0, 0, 0, 0, 0]"
50,Shirley Temple,Polly Wolly Doodle,Happy,"[0.3206356167793274, 0.18484538793563843, 0.1713419258594513, 0.23680272698402405, 0.005051910877227783, 0.046021997928619385, 0.05309054255485535]","[1, 0, 0, 0, 0, 0, 0]"
51,Shirley Temple,This Is A Happy Little Ditty,Happy,"[0.3894154727458954, 0.26962044835090637, 0.1746632158756256, 0.2515963315963745, 0.002563387155532837, 0.045345306396484375, 0.10548126697540283]","[1, 0, 0, 0, 0, 0, 0]"
52,Shirley Temple,You Gotta Eat your Spinach,Happy,"[0.326753169298172, 0.38690185546875, 0.35909634828567505, 0.4200367331504822, 0.16066482663154602, 0.2666109800338745, 0.22051900625228882]","[0, 0, 0, 1, 0, 0, 0]"
53,The Beatles,Ain't She Sweet,Happy,"[0.37199077010154724, 0.3381791114807129, 0.32298916578292847, 0.3645743131637573, 0.12337225675582886, 0.13882434368133545, 0.38904014229774475]","[0, 0, 0, 0, 0, 0, 1]"
54,Shirley Temple,Hey! What Did The Blue Jay Say,Happy,"[0.2604753375053406, 0.19619321823120117, 0.12431588768959045, 0.1743883490562439, 0.0018746554851531982, 0.025454461574554443, 0.034260094165802]","[1, 0, 0, 0, 0, 0, 0]"
55,Shirley Temple," Get on Board, Little Children",Happy,"[0.00014343857765197754, 0.00016069412231445312, 2.9423208616208285e-06, 0.001075446605682373, 1.2464696601062777e-20, 4.406698617120952e-11, 0.8452595472335815]","[0, 0, 0, 0, 0, 0, 1]"
56,Shirley Temple,When I Grow Up,Happy,"[0.28233858942985535, 0.13402485847473145, 0.08063369989395142, 0.1371486783027649, 5.10173822476645e-06, 0.0021181106567382812, 0.46090760827064514]","[0, 0, 0, 0, 0, 0, 1]"
57,Judy Garland,Lucky Day,Happy,"[0.40764835476875305, 0.36622998118400574, 0.3422345519065857, 0.38662874698638916, 0.06178268790245056, 0.2032460868358612, 0.23400762677192688]","[1, 0, 0, 0, 0, 0, 0]"
58,Clint Holmes,Playground In My Mind,Happy,"[0.3605995774269104, 0.26136597990989685, 0.2993868291378021, 0.314289391040802, 0.009303480386734009, 0.074270099401474, 0.0756518542766571]","[1, 0, 0, 0, 0, 0, 0]"
59,The Sweet,Little Willy,Happy,"[0.3137173652648926, 0.29473382234573364, 0.25998806953430176, 0.19411638379096985, 0.013822585344314575, 0.054149359464645386, 0.11567422747612]","[1, 0, 0, 0, 0, 0, 0]"
60,Clint Holmes,Shiddle-Ee-Dee,Happy,"[0.2785342335700989, 0.32597875595092773, 0.19813865423202515, 0.2613357603549957, 0.03387436270713806, 0.04741865396499634, 0.3131963610649109]","[0, 1, 0, 0, 0, 0, 0]"
61,John Paul Jones,Johnny Horton,Happy,"[0.2574222981929779, 0.23222669959068298, 0.06344777345657349, 0.21895632147789001, 0.0011743903160095215, 0.011656045913696289, 0.022801727056503296]","[1, 0, 0, 0, 0, 0, 0]"
