,Artist,Song,Class,probability_vector,label_vector
707,The White Stripes,Fell in Love with a Girl,romantic,"[0.18854820728302002, 0.3219762146472931, 0.33130592107772827, 0.2984873652458191, 0.05514252185821533, 0.05823129415512085, 0.08825546503067017]","[0, 0, 1, 0, 0, 0, 0]"
708,Taylor Swift,You Belong with Me,romantic,"[0.23192697763442993, 0.3029562532901764, 0.21020099520683289, 0.2025805413722992, 0.0023343265056610107, 0.03225052356719971, 0.010761946439743042]","[0, 1, 0, 0, 0, 0, 0]"
709,Jordan sparks & chris brown,No air,romantic,"[0.15054923295974731, 0.34523770213127136, 0.3043803572654724, 0.27694791555404663, 0.007003039121627808, 0.17204385995864868, 0.013331741094589233]","[0, 1, 0, 0, 0, 0, 0]"
710,The Temper Trap,Sweet Disposition,romantic,"[0.16350102424621582, 0.3616749048233032, 0.35606664419174194, 0.283042848110199, 0.09451714158058167, 0.16427817940711975, 0.05972650647163391]","[0, 1, 0, 0, 0, 0, 0]"
711,Hozier,From Eden,romantic,"[0.13839682936668396, 0.273717999458313, 0.3033227324485779, 0.244049072265625, 0.005204975605010986, 0.03302142024040222, 0.11608630418777466]","[0, 0, 1, 0, 0, 0, 0]"
712,Beyoncé,Love on Top,romantic,"[0.12402766942977905, 0.3443794250488281, 0.3557018041610718, 0.18769881129264832, 0.013078123331069946, 0.014023572206497192, 0.004894882440567017]","[0, 0, 1, 0, 0, 0, 0]"
713,​The Lumineers,Ophelia,romantic,"[0.23432403802871704, 0.33301955461502075, 0.3691936433315277, 0.2533412575721741, 0.052476584911346436, 0.14254558086395264, 0.07933053374290466]","[0, 0, 1, 0, 0, 0, 0]"
714,Adele,Hello,romantic,"[0.08321443200111389, 0.3231450021266937, 0.3022829294204712, 0.19994574785232544, 0.02816140651702881, 0.07096680998802185, 0.02505996823310852]","[0, 1, 0, 0, 0, 0, 0]"
715,Leon Bridges,Beyond,romantic,"[0.08825406432151794, 0.2962682247161865, 0.3309057950973511, 0.15800192952156067, 0.0009266436100006104, 0.04398143291473389, 0.00896531343460083]","[0, 0, 1, 0, 0, 0, 0]"
716,Ricky Martin & Christina Aguilera,Nobody Wants to Be Lonely,romantic,"[0.058234453201293945, 0.3805474638938904, 0.2639472782611847, 0.2011740505695343, 0.001476675271987915, 0.02999722957611084, 0.0026485323905944824]","[0, 1, 0, 0, 0, 0, 0]"
717,Ben Howard,Only Love,romantic,"[0.08880716562271118, 0.38450315594673157, 0.3509714603424072, 0.22614365816116333, 0.027286916971206665, 0.04585084319114685, 0.009677112102508545]","[0, 1, 0, 0, 0, 0, 0]"
718,Emeli Sandé,Breathing Underwater,romantic,"[0.1824185848236084, 0.35746097564697266, 0.3690042495727539, 0.19710654020309448, 0.016868948936462402, 0.06767183542251587, 0.012377679347991943]","[0, 0, 1, 0, 0, 0, 0]"
719,Bruno Major,Easily,romantic,"[0.27765482664108276, 0.35152918100357056, 0.2962484359741211, 0.36165666580200195, 0.0597001314163208, 0.14076495170593262, 0.12060877680778503]","[0, 0, 0, 1, 0, 0, 0]"
720,ApologetiX,Drops Of Lucifer,romantic,"[0.1046178936958313, 0.2593401074409485, 0.1630270779132843, 0.3307482600212097, 0.0014409422874450684, 0.025749891996383667, 0.08831992745399475]","[0, 0, 0, 1, 0, 0, 0]"
721,Nicki Minaj,Your Love,romantic,"[0.04199203848838806, 0.1461181342601776, 0.1634564995765686, 0.17026707530021667, 0.0020887553691864014, 0.00926661491394043, 0.006132394075393677]","[0, 0, 0, 1, 0, 0, 0]"
722,Sam Smith,Lay Me Down,romantic,"[0.145674467086792, 0.37942683696746826, 0.29323530197143555, 0.2894364595413208, 0.06467872858047485, 0.06059136986732483, 0.016880571842193604]","[0, 1, 0, 0, 0, 0, 0]"
723,Sara Bareilles,Love Song,romantic,"[0.0722472071647644, 0.34994208812713623, 0.17787310481071472, 0.12035149335861206, 0.007718414068222046, 0.011492252349853516, 0.00046187639236450195]","[0, 1, 0, 0, 0, 0, 0]"
724,Tom Odell,Another Love,romantic,"[0.09451401233673096, 0.3684404194355011, 0.3601623773574829, 0.2514956593513489, 0.015198558568954468, 0.03163143992424011, 0.01099318265914917]","[0, 1, 0, 0, 0, 0, 0]"
725,Ingrid Michaelson,You and I,romantic,"[0.2965816259384155, 0.29564714431762695, 0.19948837161064148, 0.28223952651023865, 0.0169927179813385, 0.08788317441940308, 0.13941508531570435]","[1, 0, 0, 0, 0, 0, 0]"
726,Justin Bieber,Love Yourself,romantic,"[0.04803198575973511, 0.35867711901664734, 0.2875244617462158, 0.35530269145965576, 0.0576612651348114, 0.044491082429885864, 0.0017639100551605225]","[0, 1, 0, 0, 0, 0, 0]"
727,Kesha,Your Love is My Drug,romantic,"[0.10323300957679749, 0.2662605047225952, 0.2138327658176422, 0.3010227680206299, 0.0034331977367401123, 0.046762675046920776, 0.005644023418426514]","[0, 0, 0, 1, 0, 0, 0]"
728,Halsey,Without Me,romantic,"[0.056370168924331665, 0.38546037673950195, 0.3609287440776825, 0.24012282490730286, 0.026977747678756714, 0.07607358694076538, 0.00468599796295166]","[0, 1, 0, 0, 0, 0, 0]"
729,Mariah Carey,Thank God I Found You,romantic,"[0.13076820969581604, 0.3374468684196472, 0.3479405641555786, 0.21702808141708374, 0.0061917901039123535, 0.03752028942108154, 0.007886737585067749]","[0, 0, 1, 0, 0, 0, 0]"
730,Kelly Clarkson,Since U Been Gone,romantic,"[0.21249142289161682, 0.3130089342594147, 0.3526499569416046, 0.40118953585624695, 0.009276628494262695, 0.13940000534057617, 0.12210363149642944]","[0, 0, 0, 1, 0, 0, 0]"
731,Kodaline,Brand New Day,romantic,"[0.20583292841911316, 0.28598082065582275, 0.19766929745674133, 0.22531142830848694, 0.005791038274765015, 0.09736251831054688, 0.11542478203773499]","[0, 1, 0, 0, 0, 0, 0]"
732,Justin Timberlake,Pusher Love Girl,romantic,"[0.06869825720787048, 0.16540643572807312, 0.3111656904220581, 0.13853400945663452, 0.01378244161605835, 0.047531843185424805, 0.00016939640045166016]","[0, 0, 1, 0, 0, 0, 0]"
733,TV on the Radio,Wolf Like Me,romantic,"[0.019516944885253906, 0.07944333553314209, 0.31065383553504944, 0.06857123970985413, 2.4302824385813437e-05, 0.002152353525161743, 0.00012788176536560059]","[0, 0, 1, 0, 0, 0, 0]"
734,Birdy,Skinny Love,romantic,"[0.08636602759361267, 0.3669392764568329, 0.2067815065383911, 0.37309491634368896, 0.014825314283370972, 0.057447731494903564, 0.007516533136367798]","[0, 0, 0, 1, 0, 0, 0]"
735,Adele,Make You Feel My Love,romantic,"[0.1227419376373291, 0.31001296639442444, 0.2970830500125885, 0.25985705852508545, 0.01966109871864319, 0.076600581407547, 0.049420446157455444]","[0, 1, 0, 0, 0, 0, 0]"
736,Taylor Swift,Love Story,romantic,"[0.05424755811691284, 0.26816844940185547, 0.2875632047653198, 0.1375173032283783, 0.004103332757949829, 0.014520317316055298, 0.03481140732765198]","[0, 0, 1, 0, 0, 0, 0]"
737,James Bay,If You Ever Want to Be in Love,romantic,"[0.09978929162025452, 0.3930498957633972, 0.35760873556137085, 0.2653284966945648, 0.016692429780960083, 0.09466615319252014, 0.034984707832336426]","[0, 1, 0, 0, 0, 0, 0]"
738,Beyoncé,Crazy in Love,romantic,"[0.10944989323616028, 0.23025217652320862, 0.27286964654922485, 0.12669065594673157, 0.0017235279083251953, 0.009546816349029541, 0.00198441743850708]","[0, 0, 1, 0, 0, 0, 0]"
739,Leona Lewis,Bleeding Love,romantic,"[0.06624355912208557, 0.3212268054485321, 0.2972579896450043, 0.27469518780708313, 0.01893150806427002, 0.04883378744125366, 0.017954349517822266]","[0, 1, 0, 0, 0, 0, 0]"
740,Mary J. Blige,Be Without You,romantic,"[0.05895507335662842, 0.24466925859451294, 0.32141605019569397, 0.15309590101242065, 0.015472888946533203, 0.01805296540260315, 0.000965118408203125]","[0, 0, 1, 0, 0, 0, 0]"
741,Erykah Badu,Love of My Life (An Ode To Hip Hop),romantic,"[0.10231280326843262, 0.23228996992111206, 0.22154060006141663, 0.18150675296783447, 0.01352846622467041, 0.028649061918258667, 0.01405555009841919]","[0, 1, 0, 0, 0, 0, 0]"
742,Lifehouse,You and Me,romantic,"[0.332457035779953, 0.40061646699905396, 0.37788110971450806, 0.34862399101257324, 0.05609411001205444, 0.1790619194507599, 0.08927750587463379]","[0, 1, 0, 0, 0, 0, 0]"
743,Faith Hill,The Way You Love Me,romantic,"[0.11373209953308105, 0.3669126033782959, 0.38716959953308105, 0.2746729552745819, 0.035311877727508545, 0.016833484172821045, 0.0027503371238708496]","[0, 0, 1, 0, 0, 0, 0]"
744,Marc Anthony,You Sang to Me,romantic,"[0.12431257963180542, 0.3175346851348877, 0.34001606702804565, 0.247383713722229, 0.018278926610946655, 0.06360617280006409, 0.02482631802558899]","[0, 0, 1, 0, 0, 0, 0]"
745,Paolo Nutini,Last Request,romantic,"[0.1778637170791626, 0.3982599973678589, 0.34092456102371216, 0.35817697644233704, 0.12287485599517822, 0.1421816051006317, 0.0461101233959198]","[0, 1, 0, 0, 0, 0, 0]"
746,Lewis Capaldi,Grace,romantic,"[0.19407030940055847, 0.3689228892326355, 0.29049789905548096, 0.21807286143302917, 0.008237391710281372, 0.06370490789413452, 0.17162007093429565]","[0, 1, 0, 0, 0, 0, 0]"
747,Lady Gaga,Always Remember Us This Way,romantic,"[0.21898430585861206, 0.35062405467033386, 0.2883574962615967, 0.18663626909255981, 0.016000717878341675, 0.05545836687088013, 0.028605371713638306]","[0, 1, 0, 0, 0, 0, 0]"
748,Kelly Clarkson,Never Enough,romantic,"[0.27866700291633606, 0.4052028954029083, 0.33163976669311523, 0.2727964520454407, 0.08189129829406738, 0.14078658819198608, 0.11956238746643066]","[0, 1, 0, 0, 0, 0, 0]"
749,Jason Mraz & Colbie Caillat,Lucky,romantic,"[0.12126606702804565, 0.37185031175613403, 0.24696460366249084, 0.1235688328742981, 0.020206421613693237, 0.018310636281967163, 0.00932377576828003]","[0, 1, 0, 0, 0, 0, 0]"
750,Heartland,I Loved Her First,romantic,"[0.13699665665626526, 0.36772844195365906, 0.3239750862121582, 0.17821469902992249, 0.01156577467918396, 0.054619401693344116, 0.027524083852767944]","[0, 1, 0, 0, 0, 0, 0]"
751,Mumford & Sons,Lovers’ Eyes,romantic,"[0.07881408929824829, 0.28325697779655457, 0.24098420143127441, 0.17366299033164978, 0.002653837203979492, 0.03248092532157898, 0.02192169427871704]","[0, 1, 0, 0, 0, 0, 0]"
752,James Bay,Hold Back the River,romantic,"[0.15300461649894714, 0.4205130338668823, 0.19595247507095337, 0.19725418090820312, 0.024257153272628784, 0.1530260443687439, 0.09565842151641846]","[0, 1, 0, 0, 0, 0, 0]"
753,Death Cab for Cutie,Soul Meets Body,romantic,"[0.12142637372016907, 0.31490641832351685, 0.21672478318214417, 0.21848493814468384, 0.001453489065170288, 0.045723557472229004, 0.040137261152267456]","[0, 1, 0, 0, 0, 0, 0]"
754,The Maccabees,Toothpaste Kisses,romantic,"[0.2601911723613739, 0.3717499375343323, 0.3718692660331726, 0.3014978766441345, 0.06794887781143188, 0.16692179441452026, 0.11298999190330505]","[0, 0, 1, 0, 0, 0, 0]"
755,Keane,Somewhere Only We Know,romantic,"[0.19281980395317078, 0.3739193379878998, 0.32874077558517456, 0.25758975744247437, 0.03723713755607605, 0.0980360209941864, 0.07981383800506592]","[0, 1, 0, 0, 0, 0, 0]"
756,Isaiah Firebrace,It’s Gotta Be You,romantic,"[0.10482335090637207, 0.33981531858444214, 0.3326876759529114, 0.291591614484787, 0.03302767872810364, 0.09455657005310059, 0.005844682455062866]","[0, 1, 0, 0, 0, 0, 0]"
757,SYML,Where’s My Love,romantic,"[0.12247273325920105, 0.4268050193786621, 0.34046417474746704, 0.24000975489616394, 0.020233601331710815, 0.11796554923057556, 0.015115469694137573]","[0, 1, 0, 0, 0, 0, 0]"
758,The Chicks,Landslide,romantic,"[0.15698647499084473, 0.3692478835582733, 0.29183006286621094, 0.28678223490715027, 0.01746705174446106, 0.0804034173488617, 0.12110033631324768]","[0, 1, 0, 0, 0, 0, 0]"
759,Edward Maya,Stereo Love,romantic,"[0.04165571928024292, 0.35555166006088257, 0.368242472410202, 0.33440229296684265, 0.014066874980926514, 0.018810123205184937, 0.001869112253189087]","[0, 0, 1, 0, 0, 0, 0]"
760,Beyoncé,Drunk in Love,romantic,"[0.048075586557388306, 0.18176722526550293, 0.2923622131347656, 0.15465673804283142, 1.823383900045883e-05, 0.0162661075592041, 0.03967905044555664]","[0, 0, 1, 0, 0, 0, 0]"
761,Lukas Graham,7 Years,romantic,"[0.1192634105682373, 0.27465036511421204, 0.11010682582855225, 0.2049713134765625, 0.00022548437118530273, 0.009756207466125488, 0.2605440616607666]","[0, 1, 0, 0, 0, 0, 0]"
762,Justin Bieber,Purpose,romantic,"[0.15813839435577393, 0.28136730194091797, 0.26039302349090576, 0.20209306478500366, 0.00241243839263916, 0.027673959732055664, 0.022583961486816406]","[0, 1, 0, 0, 0, 0, 0]"
763,Adele,One and Only,romantic,"[0.09461578726768494, 0.3671964704990387, 0.3157878518104553, 0.20140191912651062, 0.004256606101989746, 0.08213686943054199, 0.006064295768737793]","[0, 1, 0, 0, 0, 0, 0]"
764,Charlie Puth,We Don’t Talk Anymore,romantic,"[0.07026070356369019, 0.3644276559352875, 0.32297223806381226, 0.2943529188632965, 0.031637877225875854, 0.0827050507068634, 0.0035181641578674316]","[0, 1, 0, 0, 0, 0, 0]"
765,Sam Smith,Too Good at Goodbyes,romantic,"[0.09537482261657715, 0.33158159255981445, 0.3435358703136444, 0.3176753520965576, 0.0749346911907196, 0.030996590852737427, 0.006750315427780151]","[0, 0, 1, 0, 0, 0, 0]"
766,Nelly Furtado,I’m Like a Bird,romantic,"[0.10972461104393005, 0.36564305424690247, 0.3736644983291626, 0.2394317388534546, 0.014463186264038086, 0.06058141589164734, 0.00740659236907959]","[0, 0, 1, 0, 0, 0, 0]"
767,Camila Cabello,Consequences,romantic,"[0.06617668271064758, 0.2359345257282257, 0.1723896563053131, 0.11534583568572998, 0.05298858880996704, 0.02661535143852234, 0.00745585560798645]","[0, 1, 0, 0, 0, 0, 0]"
768,John Mayer,Love on the Weekend,romantic,"[0.22071945667266846, 0.28949111700057983, 0.2647417485713959, 0.3552294373512268, 0.012907981872558594, 0.07904502749443054, 0.027036577463150024]","[0, 0, 0, 1, 0, 0, 0]"
769,Kwabs,Wrong or Right,romantic,"[0.12351974844932556, 0.40439701080322266, 0.36484646797180176, 0.21595504879951477, 0.013653844594955444, 0.12319618463516235, 0.002583414316177368]","[0, 1, 0, 0, 0, 0, 0]"
770,Benjamin Francis Leftwich,Atlas Hands,romantic,"[0.2678993344306946, 0.2646004557609558, 0.329128235578537, 0.2951926589012146, 0.045542627573013306, 0.11292532086372375, 0.0801469087600708]","[0, 0, 1, 0, 0, 0, 0]"
771,Lady Gaga & Bradley Cooper,I Don’t Know What Love Is,romantic,"[0.24300536513328552, 0.3836367130279541, 0.3663075566291809, 0.3471677601337433, 0.17463019490242004, 0.18738186359405518, 0.09599313139915466]","[0, 1, 0, 0, 0, 0, 0]"
772,No Doubt,Underneath It All,romantic,"[0.16514235734939575, 0.32441070675849915, 0.2824895977973938, 0.2971991300582886, 0.03734448552131653, 0.07186490297317505, 0.04369160532951355]","[0, 1, 0, 0, 0, 0, 0]"
773,Sam Hunt,Body Like a Back Road,romantic,"[0.22668200731277466, 0.26043984293937683, 0.23174390196800232, 0.2127915322780609, 0.003982633352279663, 0.04260772466659546, 0.32044869661331177]","[0, 0, 0, 0, 0, 0, 1]"
774,Jessie Ware,Say You Love Me,romantic,"[0.04053536057472229, 0.4079076051712036, 0.3668316602706909, 0.2049519419670105, 0.02159065008163452, 0.06798520684242249, 0.0007249116897583008]","[0, 1, 0, 0, 0, 0, 0]"
775,The Common Linnets,Calm After the Storm,romantic,"[0.1435166895389557, 0.3355819880962372, 0.3432033061981201, 0.25494253635406494, 0.010199517011642456, 0.0816587507724762, 0.02750113606452942]","[0, 0, 1, 0, 0, 0, 0]"
776,Bruno Mars,Treasure,romantic,"[0.20551776885986328, 0.1885925829410553, 0.38282835483551025, 0.21572503447532654, 0.02548164129257202, 0.044272392988204956, 0.005585134029388428]","[0, 0, 1, 0, 0, 0, 0]"
777,London Grammar,Strong,romantic,"[0.30348026752471924, 0.3403497636318207, 0.28765708208084106, 0.3687048852443695, 0.014863461256027222, 0.13729676604270935, 0.23179298639297485]","[0, 0, 0, 1, 0, 0, 0]"
778,Kylie Minogue & Jack Savoretti,Music’s Too Sad Without You,romantic,"[0.28836673498153687, 0.3778577744960785, 0.30401018261909485, 0.25983926653862, 0.002322554588317871, 0.06177932024002075, 0.06061092019081116]","[0, 1, 0, 0, 0, 0, 0]"
779,Jack Vallier,Rebekah,romantic,"[0.27210861444473267, 0.3827327787876129, 0.3495645225048065, 0.3790336549282074, 0.06869816780090332, 0.19853761792182922, 0.035343319177627563]","[0, 1, 0, 0, 0, 0, 0]"
780,Train,Marry Me,romantic,"[0.15338954329490662, 0.35625767707824707, 0.36679473519325256, 0.2091514766216278, 0.020239979028701782, 0.07796025276184082, 0.018493950366973877]","[0, 0, 1, 0, 0, 0, 0]"
781,Ed Sheeran,Small Bump,romantic,"[0.08395054936408997, 0.2858966886997223, 0.28515055775642395, 0.13056787848472595, 0.00017517805099487305, 0.011831074953079224, 0.025518596172332764]","[0, 1, 0, 0, 0, 0, 0]"
782,Lana Del Rey,Lust for Life,romantic,"[0.08899793028831482, 0.25122231245040894, 0.33005136251449585, 0.16278567910194397, 0.0016932189464569092, 0.05749282240867615, 0.009189605712890625]","[0, 0, 1, 0, 0, 0, 0]"
783,"Rihanna, Kanye West & Paul McCartney",FourFiveSeconds,romantic,"[0.10265108942985535, 0.3149956464767456, 0.3118869960308075, 0.23474743962287903, 0.010894566774368286, 0.06265237927436829, 0.0013785064220428467]","[0, 1, 0, 0, 0, 0, 0]"
784,Jorja Smith,Blue Lights,romantic,"[0.07949906587600708, 0.134775310754776, 0.25396856665611267, 0.1303730010986328, 1.748358045006171e-05, 0.013122588396072388, 0.0034646689891815186]","[0, 0, 1, 0, 0, 0, 0]"
785,Blake Shelton,God Gave Me You,romantic,"[0.19005686044692993, 0.322447270154953, 0.3527410924434662, 0.2755722105503082, 0.0181884765625, 0.05914264917373657, 0.018990814685821533]","[0, 0, 1, 0, 0, 0, 0]"
786,Noodlez.707,Ten Toes Down,romantic,"[0.005671024322509766, 0.07051634788513184, 0.10415536165237427, 0.060393691062927246, 1.1006482836251053e-08, 0.0016364753246307373, 0.0012764930725097656]","[0, 0, 1, 0, 0, 0, 0]"
787,Fitz and The Tantrums,HandClap,romantic,"[0.13222536444664001, 0.3219420313835144, 0.2768505811691284, 0.2222975790500641, 0.0022731125354766846, 0.029675841331481934, 0.007339894771575928]","[0, 1, 0, 0, 0, 0, 0]"
788,Of Monsters and Men,Empire,romantic,"[0.20523986220359802, 0.2948004901409149, 0.29569849371910095, 0.16136598587036133, 0.0021867454051971436, 0.021938413381576538, 0.06045430898666382]","[0, 0, 1, 0, 0, 0, 0]"
789,Thomas Rhett,Die a Happy Man,romantic,"[0.2154744267463684, 0.26990628242492676, 0.29099947214126587, 0.15472441911697388, 0.005190789699554443, 0.011845946311950684, 0.02123752236366272]","[0, 0, 1, 0, 0, 0, 0]"
790,Keri Hilson,Knock You Down,romantic,"[0.06785979866981506, 0.11354070901870728, 0.27782967686653137, 0.1079111397266388, 0.00010480119090061635, 0.013233035802841187, 0.000568091869354248]","[0, 0, 1, 0, 0, 0, 0]"
791,Milow,You Don’t Know,romantic,"[0.13347551226615906, 0.29881635308265686, 0.36761531233787537, 0.1680612862110138, 0.006081879138946533, 0.055423468351364136, 0.028598517179489136]","[0, 0, 1, 0, 0, 0, 0]"
792,Alessia Cara,Scars to Your Beautiful,romantic,"[0.05156832933425903, 0.29946571588516235, 0.32294440269470215, 0.17655518651008606, 0.00487440824508667, 0.018067508935928345, 0.0029320716857910156]","[0, 0, 1, 0, 0, 0, 0]"
793,Luke Bryan,Country Girl (Shake It for Me),romantic,"[0.14482459425926208, 0.09798073768615723, 0.31963562965393066, 0.05861788988113403, 1.8248278138344176e-05, 0.009722858667373657, 0.010175049304962158]","[0, 0, 1, 0, 0, 0, 0]"
794,Drake,Find Your Love,romantic,"[0.1951216161251068, 0.3072381019592285, 0.3841226100921631, 0.29191944003105164, 0.009617090225219727, 0.10446181893348694, 0.014447122812271118]","[0, 0, 1, 0, 0, 0, 0]"
795,Carly Rae Jepsen,Call Me Maybe,romantic,"[0.10623231530189514, 0.3069944977760315, 0.2750137448310852, 0.2499295473098755, 0.006818830966949463, 0.02966359257698059, 0.041203469038009644]","[0, 1, 0, 0, 0, 0, 0]"
796,M83,Wait,romantic,"[0.2979370355606079, 0.44318336248397827, 0.36819353699684143, 0.4235597252845764, 0.1318804919719696, 0.271944135427475, 0.25582432746887207]","[0, 1, 0, 0, 0, 0, 0]"
797,Florida Georgia Line,H.O.L.Y.,romantic,"[0.1717095971107483, 0.3829582631587982, 0.31394192576408386, 0.1326572299003601, 0.014491170644760132, 0.030425190925598145, 0.010037422180175781]","[0, 1, 0, 0, 0, 0, 0]"
798,Bruno Mars,24K Magic,romantic,"[0.1439318060874939, 0.07857543230056763, 0.24650245904922485, 0.13836491107940674, 7.896555325714871e-05, 0.04970899224281311, 0.0017935335636138916]","[0, 0, 1, 0, 0, 0, 0]"
799,OneRepublic,Counting Stars,romantic,"[0.08369091153144836, 0.29436632990837097, 0.15967875719070435, 0.2689799666404724, 0.04360207915306091, 0.04259929060935974, 0.014805108308792114]","[0, 1, 0, 0, 0, 0, 0]"
800,Jason Derulo,Want to Want Me,romantic,"[0.22441861033439636, 0.2685892581939697, 0.3377763628959656, 0.20061814785003662, 0.029932290315628052, 0.13405421376228333, 0.01864764094352722]","[0, 0, 1, 0, 0, 0, 0]"
801,P!nk,Just Give Me a Reason,romantic,"[0.05967897176742554, 0.3031538128852844, 0.23020339012145996, 0.23865008354187012, 0.07223156094551086, 0.017024487257003784, 0.004672139883041382]","[0, 1, 0, 0, 0, 0, 0]"
802,Sugarland,Stuck Like Glue,romantic,"[0.13142868876457214, 0.27310681343078613, 0.29498153924942017, 0.24639466404914856, 0.006839662790298462, 0.040977925062179565, 0.002362549304962158]","[0, 0, 1, 0, 0, 0, 0]"
803,Lady A,Need You Now,romantic,"[0.18189066648483276, 0.3797065019607544, 0.27670401334762573, 0.2156044840812683, 0.021456867456436157, 0.06158265471458435, 0.006785154342651367]","[0, 1, 0, 0, 0, 0, 0]"
804,Michael Schulte,You Let Me Walk Alone,romantic,"[0.11423516273498535, 0.3688376843929291, 0.365425705909729, 0.2728690803050995, 0.02558186650276184, 0.048716455698013306, 0.025925874710083008]","[0, 1, 0, 0, 0, 0, 0]"
805,Céline Dion,Ashes,romantic,"[0.1397557258605957, 0.3980659246444702, 0.33516696095466614, 0.25713682174682617, 0.008594423532485962, 0.0584777295589447, 0.0484737753868103]","[0, 1, 0, 0, 0, 0, 0]"
806,Brandi Carlile,Party of One (feat. Sam Smith),romantic,"[0.07178965210914612, 0.2965817153453827, 0.3640473484992981, 0.15199655294418335, 0.001980304718017578, 0.043568164110183716, 0.005028396844863892]","[0, 0, 1, 0, 0, 0, 0]"
807,The National,I Need My Girl,romantic,"[0.25491052865982056, 0.32025229930877686, 0.3647520840167999, 0.2984117269515991, 0.032713621854782104, 0.13403066992759705, 0.13078036904335022]","[0, 0, 1, 0, 0, 0, 0]"
808,Sufjan Stevens,Mystery of Love,romantic,"[0.07817992568016052, 0.3209500014781952, 0.3321220278739929, 0.1431329846382141, 0.002595752477645874, 0.018182188272476196, 0.07669281959533691]","[0, 0, 1, 0, 0, 0, 0]"
809,​The Lumineers,Ho Hey,romantic,"[0.2065538465976715, 0.31292620301246643, 0.3045361340045929, 0.29804039001464844, 0.027677863836288452, 0.15257245302200317, 0.013462603092193604]","[0, 1, 0, 0, 0, 0, 0]"
810,The Weeknd,Can’t Feel My Face,romantic,"[0.12524670362472534, 0.37844693660736084, 0.3758949339389801, 0.3032931983470917, 0.06642767786979675, 0.11989766359329224, 0.011104851961135864]","[0, 1, 0, 0, 0, 0, 0]"
811,Beyoncé,Best Thing I Never Had,romantic,"[0.12873053550720215, 0.20420828461647034, 0.3277302384376526, 0.34116432070732117, 0.01219034194946289, 0.025190502405166626, 0.0020945072174072266]","[0, 0, 0, 1, 0, 0, 0]"
812,Keith Urban,Somebody Like You,romantic,"[0.1267155408859253, 0.2677251398563385, 0.27472439408302307, 0.16845929622650146, 0.006404191255569458, 0.05108022689819336, 0.004015684127807617]","[0, 0, 1, 0, 0, 0, 0]"
813,2019 Grammy Awards,Best R&B Performance Nominees,romantic,"[0.29283255338668823, 0.39794641733169556, 0.3796382546424866, 0.3529359698295593, 0.08673104643821716, 0.25405699014663696, 0.23912063241004944]","[0, 1, 0, 0, 0, 0, 0]"
814,Lee Brice,I Don’t Dance,romantic,"[0.3247506022453308, 0.30786603689193726, 0.33716121315956116, 0.2791019082069397, 0.06285914778709412, 0.09893456101417542, 0.1341153383255005]","[0, 0, 1, 0, 0, 0, 0]"
815,Josef Salvat,Diamonds,romantic,"[0.1779751479625702, 0.3327731490135193, 0.323702335357666, 0.18030422925949097, 0.01894444227218628, 0.09497389197349548, 0.046817243099212646]","[0, 1, 0, 0, 0, 0, 0]"
816,Mumford & Sons,I Will Wait,romantic,"[0.1325441300868988, 0.32426661252975464, 0.3225131928920746, 0.23716235160827637, 0.00886496901512146, 0.0726662278175354, 0.10579487681388855]","[0, 1, 0, 0, 0, 0, 0]"
817,Ed Sheeran,Photograph,romantic,"[0.05567067861557007, 0.4099973142147064, 0.27253174781799316, 0.20915314555168152, 0.002445131540298462, 0.010408401489257812, 0.001068025827407837]","[0, 1, 0, 0, 0, 0, 0]"
818,James Morrison,I Won’t Let You Go,romantic,"[0.13534703850746155, 0.40784555673599243, 0.3299184739589691, 0.19490236043930054, 0.033460021018981934, 0.08161655068397522, 0.01989448070526123]","[0, 1, 0, 0, 0, 0, 0]"
819,Nick Jonas,Close,romantic,"[0.08034554123878479, 0.24784725904464722, 0.3364746570587158, 0.16925808787345886, 0.008815199136734009, 0.04097744822502136, 0.0010230839252471924]","[0, 0, 1, 0, 0, 0, 0]"
820,American Authors,Best Day of My Life,romantic,"[0.19390949606895447, 0.2655918002128601, 0.33869147300720215, 0.16451039910316467, 0.0010824799537658691, 0.2247888743877411, 0.021274089813232422]","[0, 0, 1, 0, 0, 0, 0]"
821,Genius Traductions Françaises,Fifth Harmony - Worth It (ft. Kid Ink) (Traduction Française),romantic,"[0.007293343544006348, 0.04684513807296753, 0.17418831586837769, 0.0363309383392334, 1.1935222232750675e-07, 0.000667870044708252, 0.4857569634914398]","[0, 0, 0, 0, 0, 0, 1]"
822,Chris Brown,Deuces,romantic,"[0.02652260661125183, 0.08775338530540466, 0.26275792717933655, 0.38475602865219116, 0.0002415478229522705, 0.024739980697631836, 0.0007378756999969482]","[0, 0, 0, 1, 0, 0, 0]"
823,Jeremy Zucker,​comethru,romantic,"[0.2678070068359375, 0.3961535692214966, 0.32082024216651917, 0.3125075101852417, 0.04200613498687744, 0.16935807466506958, 0.0994638204574585]","[0, 1, 0, 0, 0, 0, 0]"
824,Aquilo,Human,romantic,"[0.18768271803855896, 0.3230225741863251, 0.3353329300880432, 0.2712395191192627, 0.013645052909851074, 0.16111579537391663, 0.12347009778022766]","[0, 0, 1, 0, 0, 0, 0]"
825,Adele,Someone Like You,romantic,"[0.12995803356170654, 0.33736318349838257, 0.29436177015304565, 0.3371843099594116, 0.01341325044631958, 0.0161094069480896, 0.005678057670593262]","[0, 1, 0, 0, 0, 0, 0]"
